Paramètre,Valeur
r_p,3.484634017944336
TIT (°C),688.4930545655556
q_in Brayton,676.8605198383833
w_net Brayton,203.05815595151498
q_rejet Brayton,473.8023638868683
η Rankine (%),29.92818309953688
η HRSG,0.9
m_vap (kg/kg_air),0.13738010685222304
w_net vapeur total,127.62039509459638
η combiné (%),48.85475535270823
