T_hot_C,3.0,3.7567,4.4373,4.8853,5.0
600,371.11,343.0,323.22,312.18,309.56
650,407.42,377.8,356.93,345.28,342.51
700,443.85,412.72,390.79,378.54,375.62
750,480.36,447.76,424.78,411.92,408.86
800,516.95,482.89,458.85,445.41,442.21
850,553.59,518.09,493.02,478.98,475.65
900,590.28,553.34,527.24,512.63,509.15
950,627.01,588.64,561.51,546.33,542.72
1000,663.77,623.97,595.83,580.07,576.33
