PR,T_hot_C,hot_fluid,eta_br_%,W_br_kW,T_exh_br_C,T_bot_in_C,Q_avail_kW,eta_st_%,W_st_kW,eta_comb_%,W_comb_kW,gain_pp
3.0,600,Air,12.12952585979185,51.87576281489916,378.8269197443668,376.3378245746143,333.9200338874755,39.43631513107952,131.68575684967234,42.92012452093786,183.5615196645715,30.790598661146014
3.0,650,Air,13.113034525932912,62.69393501534134,415.9134840023528,411.9365005607326,373.5241004956934,42.94138812659728,160.396433740237,46.66147861318889,223.09036875557834,33.54844408725598
3.0,700,Air,13.900131085187487,73.53055749845535,453.1077337812337,448.78153703047167,413.57536360702863,43.889905209957675,181.51783505886266,48.21405154839946,255.048392557318,34.31392046321198
3.0,750,Air,14.540537405271433,84.38163281261089,490.3886117669813,485.71529665347884,454.05236515811816,44.77320153938402,203.29378054658412,49.57186734956319,287.675413359195,35.031329944291755
3.0,800,Air,15.068725335698177,95.24375840438304,527.7379178255565,522.7197308164805,494.93281051115446,45.579712992215704,225.588954535291,50.759651981272135,320.832712939674,35.69092664557396
3.0,850,Air,15.50935092971919,106.11409644029831,565.1402409125612,559.7795491662218,536.1943059392963,46.33470784479793,248.44406513741498,51.821267271485006,354.5581615777133,36.311916341765816
3.0,900,Air,15.880512124217065,116.99032152417928,602.5827650828662,596.8820285680405,577.814884789127,47.050022672137395,271.8620342962688,52.78363603659918,388.8523558204481,36.90312391238212
3.0,950,Air,16.19578572021215,127.8705599895637,640.0549944737462,634.0167416442947,619.7733665301384,47.73466382981647,295.84673301989784,53.66704020135417,423.7172930094615,37.47125448114201
3.0,1000,Air,16.465547313102473,138.7533266204878,677.5484579193891,671.1752649712021,662.0495882399907,48.39314463475228,320.38661479076063,54.48511118814305,459.1399414112484,38.01956387504058
3.7567,600,Air,12.853365602841023,50.939237703592,350.11552536665386,347.8218900747254,303.48535725238895,35.955786078058125,109.12054583189943,40.38746963714759,160.05978353549142,27.534104034306562
3.7567,650,Air,14.248668442850315,63.6534670181189,385.661135514888,383.1255147406331,341.19336674652226,40.12310154792749,136.8973610144998,44.89279827856771,200.5508280326187,30.644129835717393
3.7567,700,Air,15.351884993560041,76.39414622076106,421.3342848559414,417.30622421849205,379.3405731383293,43.083339829835666,163.43258823763273,48.194693283786606,239.8267344583938,32.842808290226564
3.7567,750,Air,16.241216962641428,89.15594985971131,457.1118379020314,452.74822042824246,417.90684636462424,43.98953338603187,183.83527170407933,49.72982358766378,272.99122156379065,33.488606625022356
3.7567,800,Air,16.96949652573833,101.9342848539884,492.9734876454095,488.2762120386391,456.8710823151553,44.83142606194924,204.82182146654608,51.06718203705189,306.7561063205345,34.09768551131357
3.7567,850,Air,17.57371507166767,114.72527280924965,528.90177824954,523.8728904971559,496.21192782395144,45.603708031222425,226.29103878093497,52.23716926471123,341.0163115901846,34.66345419304355
3.7567,900,Air,18.080546799651653,127.52569664851131,564.8819790014669,559.5236425188452,535.9083079184015,46.329673059457726,248.28456695706743,53.28224222635063,375.8102636055787,35.201695426698976
3.7567,950,Air,18.50970548667366,140.3329298122506,600.9018513718426,595.2163203685868,575.9397949610579,47.01876461393171,270.7997765107007,54.22779471759165,411.1327063229513,35.71808923091799
3.7567,1000,Air,18.87606735058927,153.14486034814405,636.9513683820171,630.9409647483069,616.2868527659409,47.67865735639961,293.8372968628119,55.093362485983924,446.98215721095596,36.21729513539465
4.4373,600,Air,12.830793955862575,47.70065973291017,329.9071180202227,327.7510564308802,282.18044887190194,35.20890879324699,99.35265687568292,39.555235011337004,147.0533166085931,26.72444105547443
4.4373,650,Air,14.627047736956483,61.75382374322828,364.3497867247736,361.9592481982138,318.5495236702439,36.30661337698371,115.65454397317868,42.02105240176272,177.40836771640696,27.394004664806232
4.4373,700,Air,16.031262528153817,75.84023823136806,398.9339767541155,396.3079978491173,355.35099477655314,41.30757115900982,146.78686503157397,47.059366129660596,222.62710326294203,31.02810360150678
4.4373,750,Air,17.15344109660217,89.95353993678503,433.6353678188967,429.49163151939376,392.56576993638123,43.40052333995828,170.37559860592606,49.6427438748908,260.3291385427111,32.48930277828863
4.4373,800,Air,18.066230587912173,104.08818782478357,468.4323605875294,463.9631274539271,430.1736929931914,44.264412107262764,190.41385624353757,51.115712050882024,294.50204406832114,33.04948146296985
4.4373,850,Air,18.819559827031522,118.23945915658555,503.30618071787285,498.51326410892625,468.1542551254466,45.05892914715379,210.94529411636057,52.39462530154658,329.1847532729461,33.57506547451506
